Price,Close,High,Low,Open,Volume
Ticker,QVAL,QVAL,QVAL,QVAL,QVAL
Date,,,,,
2015-09-16,20.952150344848633,20.95810432594949,20.617875675659043,20.617875675659043,11900
2015-09-17,21.009136199951172,21.009136199951172,20.898560893805026,20.898560893805026,1700
2015-09-18,20.47072410583496,20.668907293099217,20.413736239046337,20.668907293099217,4700
2015-09-21,20.51751136779785,20.51751136779785,20.507305236716867,20.507305236716867,3400
2015-09-22,20.065853118896484,20.345691840389264,20.030979339063283,20.345691840389264,3300
2015-09-23,19.971439361572266,20.1330485701999,19.971439361572266,20.116036733010027,1800
2015-09-24,19.877878189086914,19.96208402811391,19.70776305598171,19.818336756863392,2400
2015-09-25,20.003759384155273,20.003759384155273,19.920403660778582,19.920403660778582,2200
2015-09-28,19.261302947998047,19.60266377811636,19.15889551283097,19.60266377811636,10900
2015-09-29,19.175960540771484,19.25276692383457,19.175960540771484,19.184494764193683,1000
2015-09-30,19.628267288208008,19.63680151279218,19.06502148754795,19.06502148754795,3700
2015-10-01,19.38077163696289,19.602656501104615,19.210092099132797,19.517317546057686,135200
2015-10-02,19.807476043701172,19.807476043701172,19.58559277233919,19.58559277233919,11400
2015-10-05,20.447528839111328,20.46459728454308,20.293917713435217,20.31098453113042,11500
2015-10-06,20.464603424072266,20.55847827437348,20.39206495083008,20.481671874624674,6500
2015-10-07,20.599435806274414,20.72061916494171,20.438996325147727,20.532869519921352,3300
2015-10-08,20.823028564453125,20.846923739332073,20.652348976423013,20.660881572248318,1700
2015-10-09,20.823028564453125,20.908369172336535,20.746222180131728,20.908369172336535,1600
2015-10-12,20.68648910522461,20.737692830895234,20.68136824433642,20.737692830895234,1300
2015-10-13,20.68221664428711,20.840095700913313,20.677948718906165,20.695017164956727,8600
2015-10-14,20.54994010925293,20.54994010925293,20.246982494847508,20.246982494847508,5300
2015-10-15,20.489349365234375,20.489349365234375,20.251248919082244,20.251248919082244,2300
2015-10-16,20.481670379638672,20.481670379638672,20.481670379638672,20.481670379638672,500
2015-10-19,20.530311584472656,20.530311584472656,20.530311584472656,20.530311584472656,1300
2015-10-20,20.522632598876953,20.622481229959366,20.46801389039059,20.527753458864975,7100
2015-10-21,20.259782791137695,20.37072606948746,20.255516493233493,20.37072606948746,6600
2015-10-22,20.575542449951172,20.575542449951172,20.39632701186049,20.47142752759266,7000
2015-10-23,20.669416427612305,20.669416427612305,20.524337878096908,20.524337878096908,4100
2015-10-26,20.451801300048828,20.451801300048828,20.439000777004445,20.439000777004445,2600
2015-10-27,20.16931915283203,20.217109493494554,20.16931915283203,20.217109493494554,1300
2015-10-28,20.50727081298828,20.515805036709118,20.208579493705972,20.208579493705972,2500
2015-10-29,20.473133087158203,20.524336799668266,20.447530417034834,20.447530417034834,2800
2015-10-30,20.558475494384766,20.584078166751297,20.396328491537034,20.43046538802574,6900
2015-11-02,20.8383846282959,21.121714924249716,20.524332436913777,20.92543271156997,266500
2015-11-03,21.061973571777344,21.11317726506637,20.834967872893774,20.92542930451591,46400
2015-11-04,20.91691017150879,21.010785033363074,20.84863798863401,20.942512850488296,130500
2015-11-05,20.89983367919922,20.916902125286406,20.82302729954348,20.916902125286406,209700
2015-11-06,20.920316696166992,20.920316696166992,20.780359011196303,20.823028501139916,20100
